brand_name,generic_name,application_number,sponsor_name,dosage_form,route,marketing_status
BUTALAN,BUTABARBITAL SODIUM,ANDA085880,LANNETT,ELIXIR,ORAL,Discontinued
BUTALBITAL AND ACETAMINOPHEN,ACETAMINOPHEN; BUTALBITAL,ANDA207386,ANDA REPOSITORY,TABLET,ORAL,Prescription
"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ANDA087629,GILBERT LABS,TABLET,ORAL,Discontinued
"BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE",ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,ANDA076528,ABLE,CAPSULE,ORAL,Discontinued
"BUTALBITAL, ASPIRIN AND CAFFEINE",ASPIRIN; BUTALBITAL; CAFFEINE,ANDA086231,WATSON LABS,CAPSULE,ORAL,Discontinued
"BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE",ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,ANDA075231,LGM PHARMA,CAPSULE,ORAL,Prescription
BUTALBITAL; ACETAMINOPHEN; CAFFEINE; CODEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,ANDA076528,ABLE,Capsule,Oral,Prescription
BUTAPAP,ACETAMINOPHEN; BUTALBITAL,ANDA089987,MIKART,TABLET,ORAL,Prescription
BUTAZOLIDIN,PHENYLBUTAZONE,NDA008319,NOVARTIS,CAPSULE,ORAL,Discontinued
BUTENAFINE HYDROCHLORIDE,BUTENAFINE HYDROCHLORIDE,ANDA205181,SUN PHARMA CANADA,CREAM,TOPICAL,Over-the-counter
BUTICAPS,BUTABARBITAL SODIUM,ANDA085381,MEDPOINTE PHARM HLC,CAPSULE,ORAL,Discontinued
BUTISOL SODIUM,BUTABARBITAL SODIUM,ANDA085380,MEDA PHARMS,ELIXIR,ORAL,Discontinued
BUTOCONAZOLE NITRATE,BUTOCONAZOLE NITRATE,NDA019881,PADAGIS US,CREAM,VAGINAL,Discontinued
BUTORPHANOL TARTRATE,BUTORPHANOL TARTRATE,ANDA075759,RISING,"SPRAY, METERED",NASAL,Discontinued
BUTORPHANOL TARTRATE PRESERVATIVE FREE,BUTORPHANOL TARTRATE,ANDA074626,HOSPIRA,INJECTABLE,INJECTION,Prescription
BUTRANS,BUPRENORPHINE,NDA021306,KNOA PHARMA,"FILM, EXTENDED RELEASE",TRANSDERMAL,Prescription
BYDUREON,EXENATIDE SYNTHETIC,NDA022200,ASTRAZENECA AB,"FOR SUSPENSION, EXTENDED RELEASE",SUBCUTANEOUS,Discontinued
BYDUREON BCISE,EXENATIDE SYNTHETIC,NDA209210,ASTRAZENECA AB,"SUSPENSION, EXTENDED RELEASE",SUBCUTANEOUS,Discontinued
BYDUREON PEN,EXENATIDE SYNTHETIC,NDA022200,ASTRAZENECA AB,"FOR SUSPENSION, EXTENDED RELEASE",SUBCUTANEOUS,Discontinued
BYETTA,EXENATIDE SYNTHETIC,NDA021773,ASTRAZENECA AB,INJECTABLE,SUBCUTANEOUS,Discontinued
BYFAVO,REMIMAZOLAM BESYLATE,NDA212295,ACACIA,POWDER,INTRAVENOUS,Prescription
BYLVAY,ODEVIXIBAT,NDA215498,IPSEN,CAPSULE,ORAL,Prescription
BYNFEZIA PEN,OCTREOTIDE ACETATE,NDA213224,SUN PHARM,SOLUTION,SUBCUTANEOUS,Prescription
BYOOVIZ,RANIBIZUMAB-NUNA,BLA761202,SAMSUNG BIOEPIS CO LTD,INJECTABLE,INJECTION,Prescription
BYQLOVI,CLOBETASOL PROPIONATE,NDA218158,HARROW EYE,SUSPENSION/DROPS,OPHTHALMIC,Prescription
BYSANTI,MILSAPERIDONE,NDA220358,VANDA PHARMS INC,TABLET,ORAL,Prescription
BYSTOLIC,NEBIVOLOL HYDROCHLORIDE,NDA021742,ALLERGAN,TABLET,ORAL,Prescription
BYVALSON,NEBIVOLOL HYDROCHLORIDE; VALSARTAN,NDA206302,ABBVIE,TABLET,ORAL,Discontinued
C-SOLVE-2,ERYTHROMYCIN,ANDA062751,IVAX SUB TEVA PHARMS,SWAB,TOPICAL,Discontinued
CABAZITAXEL,CABAZITAXEL,NDA207937,FRESENIUS KABI USA,INJECTABLE,INJECTION,None (Tentative Approval)
CABENUVA KIT,CABOTEGRAVIR; RILPIVIRINE,NDA212888,VIIV HLTHCARE,"SUSPENSION, EXTENDED RELEASE",INTRAMUSCULAR,Prescription
CABERGOLINE,CABERGOLINE,ANDA218109,SOMERSET THERAPS LLC,TABLET,ORAL,Prescription
CABLIVI,CAPLACIZUMAB-YHDP,BLA761112,ABLYNX NV,INJECTABLE,INJECTION,Prescription
CABOMETYX,CABOZANTINIB S-MALATE,NDA208692,EXELIXIS INC,TABLET,ORAL,Prescription
CABOZANTINIB,CABOZANTINIB,ANDA215942,TEVA PHARMS INC,TABLET,ORAL,Prescription
CABOZANTINIB S-MALATE,CABOZANTINIB S-MALATE,ANDA213878,MSN,TABLET,ORAL,Prescription
CABTREO,ADAPALENE; BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,NDA216632,BAUSCH,GEL,TOPICAL,Prescription
CADUET,AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM,NDA021540,PHARMACIA,TABLET,ORAL,Prescription
CAFCIT,CAFFEINE CITRATE,NDA020793,HIKMA,SOLUTION,INTRAVENOUS,Prescription
CAFERGOT,CAFFEINE; ERGOTAMINE TARTRATE,ANDA084294,CHARTWELL RX,TABLET,ORAL,Discontinued
CAFFEINE CITRATE,CAFFEINE CITRATE,ANDA207400,MICRO LABS,SOLUTION,INTRAVENOUS,Prescription
CALAN,VERAPAMIL HYDROCHLORIDE,NDA019038,GD SEARLE LLC,INJECTABLE,INJECTION,Discontinued
CALAN SR,VERAPAMIL HYDROCHLORIDE,NDA019152,PFIZER,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
CALCIBIND,CELLULOSE SODIUM PHOSPHATE,NDA018757,MISSION PHARMA,POWDER,ORAL,Discontinued
CALCIJEX,CALCITRIOL,NDA018874,ABBVIE,INJECTABLE,INJECTION,Discontinued
CALCIMAR,CALCITONIN SALMON,NDA017769,SANOFI AVENTIS US,INJECTABLE,INJECTION,Discontinued
CALCIPARINE,HEPARIN CALCIUM,NDA018237,SANOFI AVENTIS US,INJECTABLE,INJECTION,Discontinued
CALCIPOTRIENE,CALCIPOTRIENE,ANDA077029,CHARTWELL RX,SOLUTION,TOPICAL,Discontinued
CALCIPOTRIENE AND BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE,ANDA210765,COSETTE PHARMS NC,SUSPENSION,TOPICAL,Prescription
CALCIPOTRIENE AND BETHAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE,ANDA212367,PADAGIS ISRAEL,SUSPENSION,TOPICAL,Discontinued
CALCITONIN-SALMON,CALCITONIN SALMON,ANDA212675,FRESENIUS KABI USA,INJECTABLE,INJECTION,Prescription
CALCITRIOL,CALCITRIOL,ANDA203973,ANDA REPOSITORY,SOLUTION,ORAL,Prescription
CALCIUM ACETATE,CALCIUM ACETATE,ANDA201658,AMNEAL PHARMS,CAPSULE,ORAL,Discontinued
CALCIUM CHLORIDE 10%,CALCIUM CHLORIDE,ANDA203477,INTL MEDICATION SYS,INJECTABLE,INJECTION,Prescription
CALCIUM CHLORIDE 10% IN PLASTIC CONTAINER,CALCIUM CHLORIDE,NDA021117,HOSPIRA,INJECTABLE,INJECTION,Prescription
CALCIUM DISODIUM VERSENATE,EDETATE CALCIUM DISODIUM,NDA008922,BAUSCH,INJECTABLE,INJECTION,Discontinued
CALCIUM GLUCEPTATE,CALCIUM GLUCEPTATE,ANDA083159,ABBOTT,INJECTABLE,INJECTION,Discontinued
CALCIUM GLUCONATE,CALCIUM GLUCONATE,ANDA216541,B BRAUN MEDICAL,SOLUTION,INTRAVENOUS,Prescription
CALCIUM GLUCONATE IN SODIUM CHLORIDE,CALCIUM GLUCONATE,ANDA219619,SAGENT,SOLUTION,INTRAVENOUS,Prescription
CALDEROL,CALCIFEDIOL,NDA018312,ORGANON USA INC,CAPSULE,ORAL,Discontinued
CALDOLOR,IBUPROFEN,NDA022348,APOTEX,SOLUTION,INTRAVENOUS,Prescription
CALMURID HC,HYDROCORTISONE; UREA,ANDA083947,PHARMACIA AND UPJOHN,CREAM,TOPICAL,Discontinued
CALOMIST,CYANOCOBALAMIN,NDA022102,PH HEALTH,"SPRAY, METERED",NASAL,Discontinued
CALQUENCE,ACALABRUTINIB,NDA210259,ASTRAZENECA,CAPSULE,ORAL,Prescription
CALQUENCE,ACALABRUTINIB MALEATE,NDA216387,ASTRAZENECA,TABLET,ORAL,Prescription
CAM-AP-ES,HYDRALAZINE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE; RESERPINE,ANDA084897,CHARTWELL RX,TABLET,ORAL,Discontinued
CAM-METRAZINE,PHENDIMETRAZINE TARTRATE,ANDA085320,CHARTWELL RX,TABLET,ORAL,Discontinued
CAMBIA,DICLOFENAC POTASSIUM,NDA022165,COSETTE,FOR SOLUTION,ORAL,Prescription
CAMCEVI ETM,LEUPROLIDE MESYLATE,NDA219745,ACCORD,EMULSION,SUBCUTANEOUS,Prescription
CAMCEVI KIT,LEUPROLIDE MESYLATE,NDA211488,ACCORD,EMULSION,SUBCUTANEOUS,Prescription
CAMILA,NORETHINDRONE,ANDA076177,DR REDDYS LABS SA,TABLET,ORAL-28,Prescription
CAMOQUIN HYDROCHLORIDE,AMODIAQUINE HYDROCHLORIDE,NDA006441,PARKE DAVIS,TABLET,ORAL,Discontinued
CAMPATH,ALEMTUZUMAB,BLA103948,GENZYME,VIAL,INTRAVENOUS,Prescription
CAMPRAL,ACAMPROSATE CALCIUM,NDA021431,FOREST LABS,"TABLET, DELAYED RELEASE",ORAL,Discontinued
CAMPTOSAR,IRINOTECAN HYDROCHLORIDE,NDA020571,PFIZER INC,INJECTABLE,INJECTION,Prescription
CAMZYOS,MAVACAMTEN,NDA214998,BRISTOL,CAPSULE,ORAL,Prescription
CANAGLIFLOZIN,CANAGLIFLOZIN,ANDA210386,AUROBINDO PHARMA LTD,TABLET,ORAL,Discontinued
CANAGLIFLOZIN AND METFORMIN HYDROCHLORIDE,"CANAGLIFLOZIN, METFORMIN HYDROCHLORIDE",ANDA213900,AUROBINDO PHARMA LIMITED,"TABLET, EXTENDED RELEASE",,None (Tentative Approval)
CANAGLIFLOZIN AND METFORMIN HYDROCHLORIDE,CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,ANDA215255,MACLEODS PHARMACEUTICALS LTD,"TABLET, EXTENDED RELEASE",,None (Tentative Approval)
CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,ANDA210542,ZYDUS PHARMS USA INC,TABLET,ORAL,None (Tentative Approval)
CANASA,MESALAMINE,NDA021252,ABBVIE,SUPPOSITORY,RECTAL,Discontinued
CANCIDAS,CASPOFUNGIN ACETATE,NDA021227,MERCK,POWDER,INTRAVENOUS,Discontinued
CANDESARTAN CILEXETIL,CANDESARTAN CILEXETIL,ANDA091390,ZYDUS LIFESCIENCES,TABLET,ORAL,Prescription
CANDESARTAN CILEXETIL AND HYDROCHLOROTHIAZIDE,CANDESARTAN CILEXETIL; HYDROCHLOROTHIAZIDE,ANDA202965,SENORES PHARMS,TABLET,ORAL,Prescription
CANDESARTAN CILEXETIL; HYDROCHLOROTHIAZIDE,CANDESARTAN CILEXETIL; HYDROCHLOROTHIAZIDE,ANDA200887,TEVA PHARMS USA,TABLET,ORAL,None (Tentative Approval)
CANDEX,NYSTATIN,ANDA061810,BAYER PHARMS,CREAM,TOPICAL,Discontinued
CANGRELOR,CANGRELOR,ANDA213551,GLAND,POWDER,INTRAVENOUS,Prescription
CANTIL,MEPENZOLATE BROMIDE,NDA010679,SANOFI AVENTIS US,TABLET,ORAL,Discontinued
CAP-PROFEN,IBUPROFEN,ANDA072097,PERRIGO,TABLET,ORAL,Discontinued
CAPASTAT SULFATE,CAPREOMYCIN SULFATE,NDA050095,EPIC PHARMA LLC,INJECTABLE,INJECTION,Discontinued
CAPECITABINE,CAPECITABINE,ANDA090943,RISING,TABLET,ORAL,Prescription
CAPEX,FLUOCINOLONE ACETONIDE,NDA020001,GALDERMA LABS LP,SHAMPOO,TOPICAL,Discontinued
CAPITAL AND CODEINE,ACETAMINOPHEN; CODEINE PHOSPHATE,ANDA086024,VALEANT PHARMS LLC,SUSPENSION,ORAL,Discontinued
CAPITAL SOLEIL 15,AVOBENZONE; ECAMSULE; OCTOCRYLENE,NDA021501,LOREAL USA,CREAM,TOPICAL,Over-the-counter
CAPITROL,CHLOROXINE,NDA017594,WESTWOOD SQUIBB,SHAMPOO,TOPICAL,Discontinued
CAPLYTA,LUMATEPERONE TOSYLATE,NDA209500,INTRA-CELLULAR,CAPSULE,ORAL,Prescription
CAPOTEN,CAPTOPRIL,NDA018343,AARXION ANDA HLDING,TABLET,ORAL,Discontinued
CAPOZIDE 25/15,CAPTOPRIL; HYDROCHLOROTHIAZIDE,NDA018709,APOTHECON,TABLET,ORAL,Discontinued
CAPOZIDE 25/25,CAPTOPRIL; HYDROCHLOROTHIAZIDE,NDA018709,APOTHECON,TABLET,ORAL,Discontinued
CAPOZIDE 50/15,CAPTOPRIL; HYDROCHLOROTHIAZIDE,NDA018709,APOTHECON,TABLET,ORAL,Discontinued
CAPOZIDE 50/25,CAPTOPRIL; HYDROCHLOROTHIAZIDE,NDA018709,APOTHECON,TABLET,ORAL,Discontinued
CAPRELSA,VANDETANIB,NDA022405,GENZYME CORP,TABLET,ORAL,Prescription
CAPREOMYCIN SULFATE,CAPREOMYCIN SULFATE,ANDA204796,HISUN PHARM HANGZHOU,INJECTABLE,INJECTION,Discontinued
CAPTOPRIL,CAPTOPRIL,ANDA074386,WATSON LABS,TABLET,ORAL,Discontinued
CAPTOPRIL AND HYDROCHLOROTHIAZIDE,CAPTOPRIL; HYDROCHLOROTHIAZIDE,ANDA074788,STRIDES PHARMA INTL,TABLET,ORAL,Discontinued
CARAC,FLUOROURACIL,NDA020985,EXTROVIS,CREAM,TOPICAL,Prescription
CARAFATE,SUCRALFATE,NDA019183,ABBVIE,SUSPENSION,ORAL,Discontinued
CARBACHOL,CARBACHOL,ANDA070292,PHARMAFAIR,SOLUTION,INTRAOCULAR,Discontinued
CARBAGLU,CARGLUMIC ACID,NDA022562,RECORDATI RARE,"TABLET, FOR SUSPENSION",ORAL,Prescription
CARBAMAZEPINE,CARBAMAZEPINE,ANDA076697,ANI PHARMS,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription
CARBASTAT,CARBACHOL,ANDA073677,NOVARTIS,SOLUTION,INTRAOCULAR,Discontinued
CARBATROL,CARBAMAZEPINE,NDA020712,TAKEDA PHARMS USA,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription
CARBIDOPA,CARBIDOPA,ANDA211055,AUROBINDO PHARMA,TABLET,ORAL,Prescription
CARBIDOPA AND LEVODOPA,"CARBIDOPA, LEVODOPA",ANDA219989,SANDOZ INC,"CAPSULE, EXTENDED RELEASE",,None (Tentative Approval)
CARBIDOPA AND LEVODOPA,"CARBIDOPA,LEVODOPA",ANDA220119,BIOCON PHARMA LIMITED,"CAPSULE, EXTENDED RELEASE",,None (Tentative Approval)
CARBIDOPA AND LEVODOPA,CARBIDOPA; LEVODOPA,ANDA077828,SUN PHARM INDS,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
"CARBIDOPA, LEVODOPA AND ENTACAPONE",CARBIDOPA; ENTACAPONE; LEVODOPA,ANDA090833,WOCKHARDT LTD,TABLET,ORAL,Discontinued
CARBIDOPA; LEODOPA,CARBIDOPA; LEODOPA,ANDA210911,ZYDUS PHARMS USA INC,"CAPSULE, EXTENDED RELEASE",,None (Tentative Approval)
CARBIDOPA; LEVODOPA,CARBIDOPA; LEVODOPA,ANDA208895,SANDOZ INC,"CAPSULE, EXTENDED RELEASE",ORAL,None (Tentative Approval)
CARBILEV,CARBIDOPA; LEVODOPA,ANDA076643,RANBAXY,"TABLET, FOR SUSPENSION",ORAL,Discontinued
CARBINOXAMINE MALEATE,CARBINOXAMINE MALEATE,ANDA090756,MISSION PHARMACAL,TABLET,ORAL,Prescription
CARBOCAINE,MEPIVACAINE HYDROCHLORIDE,NDA012125,EASTMAN KODAK,INJECTABLE,INJECTION,Discontinued
CARBOCAINE W/ NEO-COBEFRIN,LEVONORDEFRIN; MEPIVACAINE HYDROCHLORIDE,NDA012125,EASTMAN KODAK,INJECTABLE,INJECTION,Discontinued
"CARBON DIOXIDE, USP",CARBON DIOIDE,NDA215007,NEXAIR LLC,GAS,INHALATION,Prescription
"CARBON DIOXIDE, USP",CARBON DIOXIDE,NDA210816,LISS AMERICA LLC,GAS,INHALATION,Prescription
CARBOPLATIN,CARBOPLATIN,ANDA077389,TEVA PARENTERAL,INJECTABLE,INTRAVENOUS,Discontinued
CARBOPROST TROMETHAMINE,CARBOPROST TROMETHAMINE,ANDA215901,ANI PHARMS,INJECTABLE,INJECTION,Discontinued
CARDAMYST,ETRIPAMIL,NDA218571,MILESTONE PHARMS USA,SPRAY,NASAL,Prescription
CARDENE,NICARDIPINE HYDROCHLORIDE,NDA019734,CHIESI,INJECTABLE,INJECTION,Prescription
CARDENE IN 0.83% SODIUM CHLORIDE IN PLASTIC CONTAINER,NICARDIPINE HYDROCHLORIDE,NDA019734,CHIESI,INJECTABLE,INTRAVENOUS,Prescription
CARDENE IN 0.86% SODIUM CHLORIDE IN PLASTIC CONTAINER,NICARDIPINE HYDROCHLORIDE,NDA019734,CHIESI,INJECTABLE,INTRAVENOUS,Prescription
CARDENE IN 4.8% DEXTROSE IN PLASTIC CONTAINER,NICARDIPINE HYDROCHLORIDE,NDA019734,CHIESI,INJECTABLE,INTRAVENOUS,Prescription
CARDENE IN 5.0% DEXTROSE IN PLASTIC CONTAINER,NICARDIPINE HYDROCHLORIDE,NDA019734,CHIESI,INJECTABLE,INTRAVENOUS,Discontinued
CARDENE SR,NICARDIPINE HYDROCHLORIDE,NDA020005,CHIESI,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued
CARDIOGEN-82,RUBIDIUM CHLORIDE RB-82,NDA019414,BRACCO,INJECTABLE,INJECTION,Prescription
CARDIOGRAFIN,DIATRIZOATE MEGLUMINE,NDA011620,BRACCO,INJECTABLE,INJECTION,Discontinued
CARDIOLITE,TECHNETIUM TC-99M SESTAMIBI KIT,NDA019785,SHINE,INJECTABLE,INJECTION,Prescription
CARDIOPLEGIC IN PLASTIC CONTAINER,CALCIUM CHLORIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,ANDA075323,BAXTER HLTHCARE,SOLUTION,"PERFUSION, CARDIAC",Prescription
CARDIOQUIN,QUINIDINE POLYGALACTURONATE,NDA011642,PHARM RES ASSOC,TABLET,ORAL,Discontinued
CARDIOTEC,TECHNETIUM TC-99M TEBOROXIME KIT,NDA019928,BRACCO,INJECTABLE,INJECTION,Discontinued
CARDIZEM,DILTIAZEM HYDROCHLORIDE,NDA020027,BIOVAIL LABS INTL,INJECTABLE,INJECTION,Discontinued
CARDIZEM CD,DILTIAZEM HYDROCHLORIDE,NDA020062,BAUSCH,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription
CARDIZEM LA,DILTIAZEM HYDROCHLORIDE,NDA021392,BAUSCH,"TABLET, EXTENDED RELEASE",ORAL,Prescription
CARDIZEM SR,DILTIAZEM HYDROCHLORIDE,NDA019471,BIOVAIL,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued
CARDRASE,ETHOXZOLAMIDE,NDA011047,PHARMACIA AND UPJOHN,TABLET,ORAL,Discontinued
CARDURA,DOXAZOSIN MESYLATE,NDA019668,VIATRIS,TABLET,ORAL,Prescription
CARDURA XL,DOXAZOSIN MESYLATE,NDA021269,VIATRIS,"TABLET, EXTENDED RELEASE",ORAL,Prescription
CARFILZOMIB,CARFILZOMIB,ANDA210823,EUGIA PHARMA,POWDER,INTRAVENOUS,None (Tentative Approval)
CARGLUMIC ACID,CARGLUMIC ACID,ANDA213729,NOVITIUM PHARMA,"TABLET, FOR SUSPENSION",ORAL,Prescription
CARIPRAZINE HYDROCHLORIDE,CARIPRAZINE HYDROCHLORIDE,ANDA213982,AUROBINDO PHARMA LTD,CAPSULE,ORAL,Discontinued
CARISOPRODOL,CARISOPRODOL,ANDA081025,SENORES PHARMS,TABLET,ORAL,Prescription
CARISOPRODOL AND ASPIRIN,ASPIRIN; CARISOPRODOL,ANDA040116,GENUS,TABLET,ORAL,Discontinued
CARISOPRODOL COMPOUND,ASPIRIN; CARISOPRODOL,ANDA088809,WATSON LABS,TABLET,ORAL,Discontinued
"CARISOPRODOL, ASPIRIN AND CODEINE PHOSPHATE",ASPIRIN; CARISOPRODOL; CODEINE PHOSPHATE,ANDA040283,OXFORD PHARMS,TABLET,ORAL,Discontinued
CARMOL HC,HYDROCORTISONE ACETATE,ANDA080505,FOUGERA PHARMS,CREAM,TOPICAL,Discontinued
CARMUSTINE,CARMUSTINE,ANDA210179,NAVINTA LLC,INJECTABLE,INJECTION,Prescription
CARNEXIV,CARBAMAZEPINE,NDA206030,LUNDBECK PHARMS LLC,SOLUTION,INTRAVENOUS,Discontinued
CARNITOR,LEVOCARNITINE,NDA018948,LEADIANT BIOSCI INC,SOLUTION,ORAL,Discontinued
CARNITOR SF,LEVOCARNITINE,NDA019257,LEADIANT BIOSCI INC,SOLUTION,ORAL,Prescription
CAROSPIR,SPIRONOLACTONE,NDA209478,CMP DEV LLC,SUSPENSION,ORAL,Prescription
CARTEOLOL HYDROCHLORIDE,CARTEOLOL HYDROCHLORIDE,ANDA076097,APOTEX INC,SOLUTION/DROPS,OPHTHALMIC,Discontinued
CARTIA XT,DILTIAZEM HYDROCHLORIDE,ANDA074752,ACTAVIS LABS FL INC,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription
CARTROL,CARTEOLOL HYDROCHLORIDE,NDA019204,ABBVIE,TABLET,ORAL,Discontinued
CARVEDILOL,CARVEDILOL,ANDA077887,HIKMA,TABLET,ORAL,Discontinued
CARVEDILOL PHOSPHATE,CARVEDILOL PHOSPHATE,ANDA204717,IMPAX LABS INC,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription
CASODEX,BICALUTAMIDE,NDA022310,ASTRAZENECA,TABLET,ORAL,Prescription
CASPOFUNGIN ACETATE,CASPOFUNGIN ACETATE,ANDA216506,HANGZHOU ZHONGMEI,POWDER,INTRAVENOUS,Prescription
CASPORYN HC,HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,NDA060613,CASPER PHARMA LLC,SUSPENSION/DROPS,OTIC,Prescription
CASSIPA,BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE,NDA208042,TEVA PHARMS USA,FILM,SUBLINGUAL,Discontinued
CATAFLAM,DICLOFENAC POTASSIUM,ANDA076561,AMICI PHARMA,TABLET,ORAL,Prescription
CATAPRES,CLONIDINE HYDROCHLORIDE,NDA017407,BOEHRINGER INGELHEIM,TABLET,ORAL,Discontinued
CATAPRES-TTS-1,CLONIDINE,NDA018891,LAVIPHARM,SYSTEM,TRANSDERMAL,Prescription
CATAPRES-TTS-2,CLONIDINE,NDA018891,LAVIPHARM,SYSTEM,TRANSDERMAL,Prescription
CATAPRES-TTS-3,CLONIDINE,NDA018891,LAVIPHARM,SYSTEM,TRANSDERMAL,Prescription
CATHFLO ACTIVASE,ALTEPLASE,BLA103172,GENENTECH,VIAL,,Prescription
CAVERJECT,ALPROSTADIL,NDA020755,PFIZER,INJECTABLE,INJECTION,Discontinued
CAVERJECT IMPULSE,ALPROSTADIL,NDA021212,PFIZER,INJECTABLE,INJECTION,Prescription
CAVHANZA,NILOTINIB,NDA217379,FLEX PHARMA,"TABLET, ORALLY DISINTEGRATING",ORAL,Prescription
CAYSTON,AZTREONAM,NDA050814,GILEAD,FOR SOLUTION,INHALATION,Prescription
CECLOR,CEFACLOR,NDA050522,LILLY,FOR SUSPENSION,ORAL,Discontinued
CECLOR CD,CEFACLOR,NDA050673,LILLY,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
CEDAX,CEFTIBUTEN DIHYDRATE,NDA050686,BURKE THERAP,FOR SUSPENSION,ORAL,Discontinued
CEDILANID-D,DESLANOSIDE,NDA009282,NOVARTIS,INJECTABLE,INJECTION,Discontinued
CEFACLOR,CEFACLOR,ANDA062206,FACTA FARMA,FOR SUSPENSION,ORAL,Discontinued
CEFADROXIL,CEFADROXIL/CEFADROXIL HEMIHYDRATE,ANDA062766,IVAX SUB TEVA PHARMS,CAPSULE,ORAL,Discontinued
CEFADYL,CEPHAPIRIN SODIUM,ANDA061769,APOTHECON,INJECTABLE,INJECTION,Discontinued
CEFAZOLIN AND DEXTROSE,CEFAZOLIN SODIUM,NDA050779,B BRAUN,INJECTABLE,INJECTION,Prescription
CEFAZOLIN IN DEXTROSE,CEFAZOLIN SODIUM,NDA207131,BAXTER HLTHCARE CORP,SOLUTION,INTRAVENOUS,Prescription
CEFAZOLIN SODIUM,CEFAZOLIN SODIUM,ANDA203661,QILU ANTIBIOTICS,INJECTABLE,INJECTION,Prescription
CEFDINIR,CEFDINIR,ANDA210534,ALKEM LABS LTD,FOR SUSPENSION,ORAL,Prescription
CEFEPIME AND DEXTROSE IN DUPLEX CONTAINER,CEFEPIME HYDROCHLORIDE,NDA050821,B BRAUN,INJECTABLE,INJECTION,Prescription
CEFEPIME HYDROCHLORIDE,CEFEPIME HYDROCHLORIDE,ANDA203704,QILU ANTIBIOTICS,INJECTABLE,INJECTION,Prescription
CEFEPIME HYDROCHLORIDE IN PLASTIC CONTAINER,CEFEPIME HYDROCHLORIDE,ANDA209408,SAMSON MEDCL,POWDER,INTRAVENOUS,Prescription
CEFEPIME IN PLASTIC CONTAINER,CEFEPIME HYDROCHLORIDE,NDA050817,BAXTER HLTHCARE,INJECTABLE,INJECTION,Prescription
CEFIXIME,CEFIXIME,ANDA206358,FDC LTD,TABLET,ORAL,Prescription
CEFIZOX,CEFTIZOXIME SODIUM,NDA050560,ASTELLAS,INJECTABLE,INJECTION,Discontinued
CEFIZOX IN DEXTROSE 5% IN PLASTIC CONTAINER,CEFTIZOXIME SODIUM,NDA050589,ASTELLAS,INJECTABLE,INJECTION,Discontinued
CEFIZOX IN PLASTIC CONTAINER,CEFTIZOXIME SODIUM,NDA050589,ASTELLAS,INJECTABLE,INJECTION,Discontinued
CEFMAX,CEFMENOXIME HYDROCHLORIDE,NDA050571,TAP PHARM,INJECTABLE,INJECTION,Discontinued
CEFOBID,CEFOPERAZONE SODIUM,ANDA063333,PFIZER,INJECTABLE,INJECTION,Discontinued
CEFOBID IN PLASTIC CONTAINER,CEFOPERAZONE SODIUM,NDA050613,PFIZER,INJECTABLE,INJECTION,Discontinued
CEFOTAN,CEFOTETAN DISODIUM,NDA050588,PAI HOLDINGS PHARM,INJECTABLE,INJECTION,Prescription
CEFOTAN IN PLASTIC CONTAINER,CEFOTETAN DISODIUM,NDA050694,PAI HOLDINGS PHARM,INJECTABLE,INJECTION,Discontinued
CEFOTAXIME,CEFOTAXIME SODIUM,ANDA064201,FRESENIUS KABI USA,INJECTABLE,INJECTION,Discontinued
CEFOTAXIME AND DEXTROSE 2.4% IN PLASTIC CONTAINER,CEFOTAXIME SODIUM,NDA050792,B BRAUN,INJECTABLE,INJECTION,Discontinued
