brand_name,generic_name,application_number,sponsor_name,dosage_form,route,marketing_status
QUESTRAN LIGHT,CHOLESTYRAMINE,NDA019669,BRISTOL MYERS,POWDER,ORAL,Discontinued
QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,ANDA090323,PHARMOBEDIENT,TABLET,ORAL,Discontinued
QUIBRON-T,THEOPHYLLINE,ANDA088656,MONARCH PHARMS,TABLET,ORAL,Discontinued
QUIBRON-T/SR,THEOPHYLLINE,ANDA087563,MONARCH PHARMS,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
QUIDE,PIPERACETAZINE,NDA013615,DOW PHARM,TABLET,ORAL,Discontinued
QUILLICHEW ER,METHYLPHENIDATE HYDROCHLORIDE,NDA207960,NEXTWAVE PHARMS,"TABLET, EXTENDED RELEASE, CHEWABLE",ORAL,Prescription
QUILLIVANT XR,METHYLPHENIDATE HYDROCHLORIDE,NDA202100,NEXTWAVE,"FOR SUSPENSION, EXTENDED RELEASE",ORAL,Prescription
QUINACT,QUINIDINE GLUCONATE,ANDA085978,BAYER HLTHCARE,TABLET,ORAL,Discontinued
QUINAGLUTE,QUINIDINE GLUCONATE,NDA016647,BAYER HLTHCARE,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
QUINALAN,QUINIDINE GLUCONATE,ANDA088081,CHARTWELL MOLECULAR,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
QUINAPRIL HYDROCHLORIDE,QUINAPRIL HYDROCHLORIDE,ANDA076240,APOTEX INC,TABLET,ORAL,Discontinued
QUINAPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE; QUINAPRIL HYDROCHLORIDE,ANDA078450,AUROBINDO PHARMA,TABLET,ORAL,Prescription
QUINATIME,QUINIDINE GLUCONATE,ANDA087448,WATSON LABS,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
QUINIDEX,QUINIDINE SULFATE,NDA012796,WYETH PHARMS INC,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
QUINIDINE GLUCONATE,QUINIDINE GLUCONATE,ANDA089164,SUPERPHARM,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
QUINIDINE SULFATE,QUINIDINE SULFATE,ANDA083288,WATSON LABS,TABLET,ORAL,Discontinued
QUININE SULFATE,QUININE SULFATE,ANDA203729,AMNEAL PHARMS,CAPSULE,ORAL,Prescription
QUINORA,QUINIDINE SULFATE,ANDA085222,SCHERING,TABLET,ORAL,Discontinued
QUIOFIC,FOLIC ACID,NDA216395,SOLUBIOMIX,SOLUTION,ORAL,Prescription
QUIXIN,LEVOFLOXACIN,NDA021199,SANTEN,SOLUTION/DROPS,OPHTHALMIC,Discontinued
QULIPTA,ATOGEPANT,NDA215206,ABBVIE,TABLET,ORAL,Prescription
QUTENZA,CAPSAICIN,NDA022395,AVERITAS,PATCH,TOPICAL,Prescription
QUVIVIQ,DARIDOREXANT HYDROCHLORIDE,NDA214985,IDORSIA,TABLET,ORAL,Prescription
QUZYTTIR,CETIRIZINE HYDROCHLORIDE,NDA211415,ESTEVE,SOLUTION,INTRAVENOUS,Prescription
QVAR 40,BECLOMETHASONE DIPROPIONATE,NDA020911,TEVA BRANDED PHARM,"AEROSOL, METERED",INHALATION,Discontinued
QVAR 80,BECLOMETHASONE DIPROPIONATE,NDA020911,TEVA BRANDED PHARM,"AEROSOL, METERED",INHALATION,Discontinued
QVAR REDIHALER,BECLOMETHASONE DIPROPIONATE,NDA207921,NORTON WATERFORD,"AEROSOL, METERED",INHALATION,Prescription
QWO,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM-AAES,BLA761146,ENDO GLOBAL AESTHETICS LTD,SOLUTION,SUBCUTANEOUS,Prescription
R-GENE 10,ARGININE HYDROCHLORIDE,NDA016931,PHARMACIA AND UPJOHN,INJECTABLE,INJECTION,Prescription
R-P MYCIN,ERYTHROMYCIN,ANDA061659,SOLVAY,"TABLET, DELAYED RELEASE",ORAL,Discontinued
RABEPRAZOLE SODIUM,RABEPRAZOLE SODIUM,ANDA076822,TEVA PHARMS USA,"TABLET, DELAYED RELEASE",ORAL,Discontinued
RADICAVA,EDARAVONE,NDA209176,SHIONOGI,SOLUTION,INTRAVENOUS,Discontinued
